amount_usd,merchant_category,card_type,auth_method,channel,device_type,is_foreign_transaction,hours_since_last_txn,txn_count_last_24h,distance_from_home_km,card_age_months,customer_age,account_balance_usd,is_new_merchant,used_vpn,ip_country_mismatch,billing_shipping_mismatch,cvv_retry_count,velocity_score,time_of_day_hour,day_of_week,is_ai_generated_scam_attempt,merchant_risk_score,prior_disputes
9.55,Online Retail,Visa,No Authentication,POS,Tablet,False,6.23,2,1.89,35,29,791.61,True,False,False,False,0,0.0,4,6,False,50.5,1
68.3,Restaurants,Visa,Biometric,POS,Mac,True,6.97,3,24.49,47,35,4390.43,False,True,True,False,0,23.1,1,6,False,22.0,0
21.39,Gift Cards,Mastercard,3D Secure,Online,Smart Watch,False,8.05,0,20.72,48,74,386.79,False,False,False,False,0,9.3,11,2,False,63.5,0
5.69,Gift Cards,Visa,OTP,Online,POS Terminal,False,7.48,4,28.35,64,30,478.79,False,False,False,False,1,15.5,11,4,False,68.2,0
86.7,Fuel,Visa,PIN,Online,Android Phone,False,5.61,3,12.18,59,52,390.61,False,True,False,False,0,11.1,17,2,True,49.2,0
8.98,Gaming,Mastercard,No Authentication,Online,Android Phone,False,2.04,5,70.84,40,80,972.34,True,False,False,False,1,38.3,10,0,False,67.4,0
29.11,Streaming,Visa,3D Secure,POS,iPhone,False,3.62,0,6.41,55,77,845.84,True,False,False,False,0,23.0,11,2,False,47.3,1
17.14,Streaming,Mastercard,OTP,In-App,Mac,False,2.16,6,0.85,55,19,1489.11,False,False,False,False,0,28.9,23,0,False,26.6,0
16.98,Fuel,Visa,OTP,POS,ATM Machine,False,11.75,6,8.16,48,57,5961.7,False,False,False,False,1,27.0,14,1,False,25.8,2
409.53,Groceries,Mastercard,3D Secure,POS,Android Phone,False,2.99,1,6.65,50,64,562.91,False,False,False,False,0,14.7,21,4,False,28.3,1
177.42,Fuel,Visa,OTP,Online,Mac,False,6.43,2,20.45,45,74,4764.41,False,False,False,True,0,8.0,4,5,False,4.5,0
42.36,Fuel,Visa,PIN,Online,Tablet,False,5.87,1,66.91,50,51,4036.64,True,False,False,False,0,14.9,22,6,False,33.8,0
60.14,Electronics,Visa,Biometric,Online,iPhone,False,1.78,4,0.93,61,28,1282.94,False,False,False,False,0,22.0,1,0,False,51.8,0
15.8,Groceries,Visa,No Authentication,Contactless,Android Phone,False,21.99,2,59.94,46,44,1052.45,True,False,False,False,0,11.0,13,0,False,52.5,0
10.77,Groceries,Amex,OTP,ATM,Android Phone,False,9.83,0,45.64,56,75,1220.28,False,False,False,False,1,8.8,20,5,False,33.3,0
14.66,Utilities,Mastercard,PIN,POS,iPhone,False,17.83,6,9.1,36,44,1120.9,False,False,False,False,0,15.1,0,0,False,20.9,0
40.81,Electronics,Amex,No Authentication,POS,iPhone,False,8.54,3,15.31,53,58,1530.91,True,False,True,False,0,12.7,10,4,False,53.3,0
3.13,Streaming,RuPay,Biometric,Online,Android Phone,False,6.71,6,46.23,51,50,10076.35,True,False,False,False,0,34.6,19,3,False,37.8,0
50.65,Fuel,Mastercard,No Authentication,POS,Android Phone,False,0.91,5,5.8,44,75,1668.05,False,False,False,False,0,44.8,7,0,False,46.8,1
4.26,Online Retail,Amex,Biometric,POS,Android Phone,False,1.05,2,4.89,40,77,1298.63,False,False,False,False,1,20.9,8,4,False,27.2,1
11.08,Gaming,Amex,3D Secure,Online,POS Terminal,False,10.1,5,56.74,43,58,1532.36,False,True,False,False,0,35.7,12,3,False,42.6,1
11.89,Utilities,Visa,OTP,In-App,ATM Machine,False,4.47,3,15.2,44,36,10795.02,False,False,False,False,0,18.7,16,4,False,40.9,1
122.65,Online Retail,Visa,3D Secure,Online,iPhone,False,28.6,1,22.2,41,40,224.82,True,False,False,False,1,16.5,22,4,False,27.5,0
64.17,Electronics,Visa,PIN,In-App,Android Phone,False,7.96,4,4.52,47,47,3139.11,False,False,False,False,0,26.5,12,4,False,39.5,2
116.22,Groceries,Visa,OTP,POS,ATM Machine,False,9.92,6,53.13,43,59,2373.63,True,False,False,False,0,26.0,23,0,False,39.9,0
33.11,Groceries,Mastercard,3D Secure,ATM,ATM Machine,False,26.55,4,9.06,35,18,1659.33,False,False,False,False,0,32.8,7,3,False,15.0,1
70.52,Restaurants,Visa,OTP,ATM,Mac,False,0.28,1,28.8,51,56,144.21,False,False,False,False,0,17.9,0,4,False,31.9,0
48.51,Restaurants,Amex,3D Secure,Contactless,Android Phone,False,4.47,3,40.79,41,49,1077.68,False,False,False,False,0,19.7,4,6,False,34.2,1
85.64,Gaming,Visa,3D Secure,Online,Windows PC,False,5.92,4,16.08,56,22,2058.15,False,False,False,False,0,8.9,14,0,False,67.9,1
509.43,Groceries,Visa,No Authentication,Online,Android Phone,False,7.14,2,95.69,44,30,14853.43,False,False,False,False,0,12.2,19,5,False,27.1,0
40.9,Gift Cards,Amex,OTP,Online,Mac,False,20.89,5,45.97,52,81,1867.97,False,False,False,False,0,18.1,21,0,False,90.5,0
36.19,Gift Cards,Mastercard,OTP,Online,iPhone,False,41.5,2,51.53,44,26,9004.73,False,False,False,False,0,9.0,5,2,False,81.1,0
45.35,Groceries,Mastercard,Biometric,Contactless,Windows PC,False,10.58,1,13.04,49,73,7073.55,False,False,False,False,0,0.0,1,5,False,61.0,0
45.1,Online Retail,Visa,3D Secure,In-App,Android Phone,False,25.72,0,43.59,39,57,1231.28,False,False,False,False,0,4.5,21,4,False,20.9,0
243.15,Crypto Exchange,Visa,PIN,Online,POS Terminal,False,18.65,2,40.23,49,57,1958.72,True,False,False,False,0,10.7,0,2,False,75.0,1
53.22,Online Retail,Mastercard,OTP,Contactless,Smart Watch,True,14.26,3,64.58,47,21,1281.76,False,False,False,False,0,9.2,21,4,False,0.0,0
71.19,Fuel,Mastercard,No Authentication,POS,Android Phone,False,4.53,3,20.49,43,26,39125.31,False,False,False,False,0,19.5,0,2,False,10.4,0
207.16,Healthcare,Mastercard,PIN,POS,Windows PC,True,37.4,4,31.64,41,47,2221.99,True,False,False,False,0,16.8,16,0,False,27.5,0
95.66,Online Retail,Mastercard,No Authentication,In-App,Windows PC,False,16.4,2,51.6,44,46,678.41,False,False,False,False,0,11.5,13,6,False,39.1,0
57.51,Travel,Visa,Biometric,In-App,iPhone,True,0.06,4,10.18,29,56,651.23,False,False,True,False,0,61.2,1,5,False,43.4,0
229.2,Electronics,RuPay,3D Secure,POS,POS Terminal,False,5.55,2,49.09,37,50,729.43,False,False,False,False,0,19.7,20,0,False,48.2,1
387.16,Electronics,Visa,Biometric,Online,Android Phone,False,3.61,1,20.31,38,56,7614.31,False,False,False,False,0,9.7,1,4,False,47.0,0
17.34,Gift Cards,Amex,3D Secure,Online,iPhone,False,5.82,2,15.9,52,37,2442.99,False,False,False,False,0,19.2,23,5,False,84.4,0
67.19,Restaurants,Visa,3D Secure,POS,iPhone,False,1.23,1,29.72,40,26,161.02,False,False,False,False,0,13.8,7,1,False,31.8,0
25.2,Fuel,Visa,Biometric,Online,iPhone,False,8.13,2,10.61,45,23,1340.78,False,False,False,False,0,17.5,17,3,False,53.0,0
119.33,Restaurants,Visa,Biometric,In-App,Android Phone,False,7.81,3,41.33,55,78,380.25,False,False,False,False,0,17.7,23,0,False,0.0,0
247.28,Online Retail,Visa,OTP,POS,Windows PC,False,5.09,3,5.55,42,78,6205.84,True,False,False,False,0,19.6,7,1,False,38.9,0
9.08,Healthcare,Amex,OTP,POS,Smart Watch,False,12.73,4,30.34,55,58,210.78,False,False,False,False,0,27.4,22,1,False,32.2,0
117.36,Groceries,Amex,3D Secure,POS,POS Terminal,False,10.28,1,9.02,40,19,649.07,False,True,False,False,0,7.9,16,2,False,21.4,0
118.79,Online Retail,Mastercard,OTP,POS,POS Terminal,True,7.74,1,6.39,44,41,2261.7,False,False,False,False,0,14.5,13,5,False,51.1,0
52.21,Streaming,Visa,No Authentication,Online,POS Terminal,False,11.13,2,11.38,50,44,4617.63,True,False,False,False,0,3.5,4,0,False,26.6,0
134.9,Restaurants,Visa,3D Secure,In-App,Android Phone,False,4.81,5,29.27,50,79,5434.49,False,False,False,False,0,39.0,1,6,False,43.5,0
609.31,Electronics,Visa,3D Secure,POS,iPhone,False,16.45,0,13.59,64,60,5688.78,True,False,False,False,0,10.7,3,1,False,52.8,0
101.03,Online Retail,Visa,3D Secure,Online,POS Terminal,False,9.04,4,5.87,46,40,6756.39,False,False,False,False,0,18.8,14,0,False,26.9,0
1044.09,Travel,Mastercard,3D Secure,Contactless,Android Phone,False,1.0,6,7.06,38,71,4055.75,False,False,False,False,1,36.2,9,6,False,41.5,0
819.89,Crypto Exchange,Mastercard,PIN,POS,POS Terminal,False,18.69,5,18.94,41,40,2679.64,False,False,False,False,0,18.5,10,3,False,100.0,1
84.89,Utilities,Visa,OTP,Online,iPhone,False,5.76,2,42.01,50,78,781.99,True,False,False,False,0,15.6,15,5,False,39.4,0
55.12,Restaurants,Mastercard,3D Secure,Online,POS Terminal,False,11.41,1,5.47,46,35,2046.43,False,False,False,False,0,2.2,19,1,False,8.2,0
183.42,Gift Cards,Visa,Biometric,Online,Windows PC,False,4.09,3,9.32,47,57,656.43,True,False,False,False,0,2.9,20,2,False,58.3,1
236.79,Electronics,Visa,OTP,Contactless,Smart Watch,False,3.45,1,3.86,51,47,322.61,True,False,False,False,0,13.7,16,1,False,40.0,0
88.02,Electronics,Visa,OTP,In-App,iPhone,True,2.52,2,0.68,49,63,678.31,False,False,False,False,0,7.1,1,2,False,50.5,0
60.38,Groceries,RuPay,PIN,In-App,Tablet,False,2.29,3,19.97,47,35,1849.59,False,False,False,False,0,28.7,2,6,False,36.8,0
89.94,Fuel,Visa,OTP,POS,POS Terminal,False,14.19,0,3.22,39,43,6884.1,False,False,False,False,0,0.0,1,2,False,55.2,1
272.02,Travel,Mastercard,PIN,Contactless,Windows PC,False,6.74,3,60.34,49,39,812.4,True,False,False,False,0,24.4,7,1,False,16.7,0
25.41,Groceries,Visa,3D Secure,In-App,Android Phone,False,2.6,3,10.81,42,46,1481.0,True,False,False,False,1,26.5,17,3,False,22.4,1
