feature,importance_mean,importance_std
cvv_retry_count,0.22247996312319823,0.023106371431504073
merchant_risk_score,0.21679363482607608,0.004014536832763088
velocity_score,0.20760560166045106,0.011432452420476876
billing_shipping_mismatch,0.10467373795596688,0.019852264824789086
ip_country_mismatch,0.0950555198105075,0.026754666962673666
auth_method,0.0864923926968526,0.012642747456828307
used_vpn,0.076463218632352,0.013449266665179828
is_ai_generated_scam_attempt,0.07506476500575875,0.021249150632448983
is_new_merchant,0.04462442413743908,0.027867448163389583
is_foreign_transaction,0.041029323408962204,0.014615538628733934
prior_disputes,0.03148500028094322,0.011794432151598953
merchant_category,0.0197523141955926,0.005994158074730516
customer_age,0.01888810938410389,0.003759644119609777
amount_usd,0.011005555633707175,0.0042339017646747515
time_of_day_hour,0.004223535546090129,0.006080472982643608
day_of_week,0.00039251597361268377,0.003646804922866287
card_age_months,-0.00011156424530790465,0.00010367462576820232
hours_since_last_txn,-0.00022810980461170915,0.0020317252376051255
account_balance_usd,-0.0006743402151891953,0.0009505325960216771
distance_from_home_km,-0.0009497464482239537,0.004480707185766499
channel,-0.0018644687226336831,0.007885782032466504
card_type,-0.002554818761661226,0.006686710011829093
device_type,-0.0044525864170315895,0.002873140073653872
txn_count_last_24h,-0.01154717890563911,0.003925992874850515
