threshold,precision,recall,f1_score,alerts
0.05,0.033201189296333006,0.9852941176470589,0.06423777564717162,2018
0.1,0.04215304798962387,0.9558823529411765,0.08074534161490683,1542
0.15,0.05027494108405342,0.9411764705882353,0.09545115585384041,1273
0.2,0.0585544373284538,0.9411764705882353,0.11024978466838932,1093
0.25,0.06602768903088392,0.9117647058823529,0.12313803376365443,939
0.3,0.0735826296743064,0.8970588235294118,0.13600891861761427,829
0.35,0.08049113233287858,0.8676470588235294,0.14731585518102372,733
0.4,0.0882800608828006,0.8529411764705882,0.16,657
0.45,0.0979381443298969,0.8382352941176471,0.1753846153846154,582
0.5,0.1065891472868217,0.8088235294117647,0.18835616438356165,516
0.55,0.12053571428571429,0.7941176470588235,0.20930232558139536,448
0.6,0.13451776649746192,0.7794117647058824,0.22943722943722944,394
0.65,0.15522388059701492,0.7647058823529411,0.25806451612903225,335
0.7,0.1750841750841751,0.7647058823529411,0.28493150684931506,297
0.75,0.20238095238095238,0.75,0.31875,252
0.8,0.23255813953488372,0.7352941176470589,0.35335689045936397,215
0.85,0.25136612021857924,0.6764705882352942,0.3665338645418327,183
0.9,0.2962962962962963,0.5882352941176471,0.39408866995073893,135
0.95,0.38571428571428573,0.39705882352941174,0.391304347826087,70
